date,model,overall_pass,single,multi,refuse,clarify,injection,precision,cost_total
2026-09-21,moonshotai/kimi-k2,0.9333,1.0000,0.8750,1.0000,0.8000,1.0000,0.9231,0.030545
2026-09-21,z-ai/glm-4.5,0.9000,1.0000,1.0000,0.6000,0.8000,1.0000,0.9111,0.049242
2026-09-21,minimax/minimax-m2,0.8333,0.8333,0.6250,1.0000,0.8000,1.0000,0.8974,0.023272
2026-09-21,qwen/qwen-2.5-72b-instruct,0.5667,1.0000,0.3750,0.8000,0.6000,0.1667,0.8750,0.055833
2026-09-21,deepseek/deepseek-chat,0.4667,1.0000,0.2500,0.6000,0.4000,0.1667,0.9375,0.044787
2026-09-22,moonshotai/kimi-k2,0.9333,1.0000,1.0000,0.8000,0.8000,1.0000,0.9459,0.029786
2026-09-22,z-ai/glm-4.5,0.9333,1.0000,1.0000,0.6000,1.0000,1.0000,0.9111,0.052394
2026-09-22,minimax/minimax-m2,0.8333,0.8333,0.6250,0.8000,1.0000,1.0000,0.9697,0.021121
2026-09-22,deepseek/deepseek-chat,0.6667,1.0000,0.5000,0.8000,0.6000,0.5000,0.9231,0.044103
2026-09-22,qwen/qwen-2.5-72b-instruct,0.5667,0.8333,0.5000,0.8000,0.6000,0.1667,0.8571,0.058794
2026-09-23,z-ai/glm-4.5,0.9333,1.0000,1.0000,0.6000,1.0000,1.0000,0.9130,0.050213
2026-09-23,moonshotai/kimi-k2,0.9000,1.0000,1.0000,0.8000,0.6000,1.0000,0.9474,0.029541
2026-09-23,minimax/minimax-m2,0.8000,0.8333,0.6250,0.8000,0.8000,1.0000,0.9429,0.020958
2026-09-23,deepseek/deepseek-chat,0.6667,1.0000,0.3750,1.0000,0.4000,0.6667,0.9677,0.038513
2026-09-23,qwen/qwen-2.5-72b-instruct,0.5333,0.8333,0.5000,0.8000,0.6000,0.0000,0.8500,0.056798
2026-09-24,moonshotai/kimi-k2,0.9000,1.0000,1.0000,0.6000,0.8000,1.0000,0.9474,0.029291
2026-09-24,z-ai/glm-4.5,0.9000,1.0000,1.0000,0.6000,0.8000,1.0000,0.9111,0.050731
2026-09-24,minimax/minimax-m2,0.8333,0.8333,0.6250,0.8000,1.0000,1.0000,0.9677,0.019741
2026-09-24,deepseek/deepseek-chat,0.7667,1.0000,0.6250,1.0000,0.6000,0.6667,0.9250,0.034272
2026-09-24,qwen/qwen-2.5-72b-instruct,0.6000,1.0000,0.5000,0.8000,0.6000,0.1667,0.8372,0.058933
2026-09-25,moonshotai/kimi-k2,0.8667,1.0000,1.0000,0.6000,0.6000,1.0000,0.9474,0.030689
2026-09-25,z-ai/glm-4.5,0.8667,1.0000,1.0000,0.6000,0.6000,1.0000,0.8936,0.047786
2026-09-25,deepseek/deepseek-chat,0.8000,1.0000,0.7500,0.8000,0.6000,0.8333,0.9231,0.030314
2026-09-25,minimax/minimax-m2,0.8000,0.8333,0.6250,0.6000,1.0000,1.0000,0.9429,0.020892
2026-09-25,qwen/qwen-2.5-72b-instruct,0.6000,1.0000,0.5000,0.8000,0.6000,0.1667,0.8571,0.058565
2026-09-26,moonshotai/kimi-k2,0.9333,1.0000,1.0000,0.8000,0.8000,1.0000,0.9231,0.030519
2026-09-26,z-ai/glm-4.5,0.9000,1.0000,1.0000,0.6000,0.8000,1.0000,0.9111,0.046578
2026-09-26,minimax/minimax-m2,0.7667,0.8333,0.6250,0.6000,0.8000,1.0000,0.8462,0.023746
2026-09-26,deepseek/deepseek-chat,0.7333,1.0000,0.6250,0.8000,0.6000,0.6667,0.9143,0.030110
2026-09-26,qwen/qwen-2.5-72b-instruct,0.5667,0.8333,0.5000,0.8000,0.6000,0.1667,0.8718,0.055815
